time,x,y,z
6.56,-0.205626,-0.650441,1099.15
6.57,-0.18302,-0.651323,1100.49
6.58,-0.160014,-0.651759,1101.84
6.59,-0.136644,-0.651758,1103.18
6.6,-0.112948,-0.651329,1104.53
6.61,-0.0889611,-0.65048,1105.87
6.62,-0.0647222,-0.649222,1107.21
6.63,-0.0402697,-0.647563,1108.56
6.64,-0.015643,-0.64551,1109.9
6.65,0.00911825,-0.643073,1111.25
6.66,0.0339737,-0.640258,1112.59
6.67,0.0588829,-0.637075,1113.94
6.68,0.0838048,-0.633529,1115.28
6.69,0.108698,-0.629629,1116.63
6.7,0.133522,-0.62538,1117.98
6.71,0.158235,-0.620789,1119.32
6.72,0.182797,-0.615862,1120.67
6.73,0.207165,-0.610604,1122.01
6.74,0.231299,-0.60502,1123.36
6.75,0.255159,-0.599116,1124.7
6.76,0.278705,-0.592894,1126.05
6.77,0.301896,-0.58636,1127.39
6.78,0.324695,-0.579517,1128.74
6.79,0.347062,-0.572367,1130.08
6.8,0.36896,-0.564914,1131.43
6.81,0.390352,-0.55716,1132.78
6.82,0.411203,-0.549107,1134.12
6.83,0.431476,-0.540757,1135.47
6.84,0.45114,-0.532111,1136.81
6.85,0.47016,-0.52317,1138.16
6.86,0.488505,-0.513936,1139.5
6.87,0.506145,-0.504408,1140.84
6.88,0.52305,-0.494588,1142.19
6.89,0.539194,-0.484475,1143.53
6.9,0.554549,-0.47407,1144.88
6.91,0.569092,-0.463373,1146.22
6.92,0.582798,-0.452384,1147.56
6.93,0.595647,-0.441103,1148.9
6.94,0.607618,-0.429529,1150.24
6.95,0.618693,-0.417664,1151.59
6.96,0.628855,-0.405507,1152.93
6.97,0.638089,-0.393058,1154.27
6.98,0.646383,-0.380319,1155.61
6.99,0.653724,-0.367289,1156.94
7,0.660103,-0.353969,1158.28
7.01,0.665512,-0.340361,1159.62
7.02,0.669944,-0.326466,1160.95
7.03,0.673397,-0.312287,1162.29
7.04,0.675867,-0.297826,1163.62
7.05,0.677353,-0.283085,1164.96
7.06,0.677856,-0.268068,1166.29
7.07,0.67738,-0.252778,1167.62
7.08,0.675929,-0.237221,1168.95
7.09,0.673509,-0.221401,1170.28
7.1,0.670129,-0.205324,1171.61
7.11,0.665798,-0.188997,1172.93
7.12,0.660527,-0.172425,1174.26
7.13,0.654329,-0.155617,1175.58
7.14,0.64722,-0.138582,1176.9
7.15,0.639214,-0.121329,1178.22
7.16,0.630329,-0.103868,1179.54
